Draw number,Draw date,Winning Number 1,Winning Number 2,Winning Number 3,Winning Number 4,Winning Number 5,Winning Number 6,Winning Number 7,Supplementary Number 1,Supplementary Number 2,Division 1 winners,Division 1 winners in WA,Division 1 prize pool,Division 1 amount,Division 2 winners,Division 2 winners in WA,Division 2 prize pool,Division 2 amount,Division 3 winners,Division 3 winners in WA,Division 3 prize pool,Division 3 amount,Division 4 winners,Division 4 winners in WA,Division 4 prize pool,Division 4 amount,Division 5 winners,Division 5 winners in WA,Division 5 prize pool,Division 5 amount,Division 6 winners,Division 6 winners in WA,Division 6 prize pool,Division 6 amount,Division 7 winners,Division 7 winners in WA,Division 7 prize pool,Division 7 amount
1306,26/02/2019,27,37,32,9,45,23,8,31,3,0,0,0.00,0.00,1,0,166059.15,166059.15,76,10,341886.00,4498.50,450,52,175837.50,390.75,4518,640,205117.20,45.40,94302,12304,2343404.70,24.85,169115,22187,2629738.25,15.55
1305,19/02/2019,17,42,26,15,30,34,9,41,23,0,0,0.00,0.00,4,0,143339.40,35834.85,53,12,295109.30,5568.10,348,51,151762.80,436.10,3287,408,177004.95,53.85,75538,10029,2024418.40,26.80,133150,18112,2270207.50,17.05
1304,12/02/2019,12,6,36,3,10,5,39,9,26,0,0,0.00,0.00,2,0,103822.80,51911.40,49,5,213752.70,4362.30,406,43,109924.50,270.75,2618,290,128282.00,49.00,60893,7155,1464476.65,24.05,117769,13957,1642877.55,13.95
1303,05/02/2019,8,16,37,41,7,6,1,28,17,0,0,0.00,0.00,4,1,92803.60,23200.90,43,6,191066.20,4443.40,282,44,98262.90,348.45,2217,297,114618.90,51.70,52112,6728,1310616.80,25.15,97577,12600,1468533.85,15.05
1302,29/01/2019,22,38,27,26,35,4,19,25,36,1,0,20000000.00,20000000.00,7,1,272274.10,38896.30,151,23,560564.85,3712.35,721,83,288291.85,399.85,7071,863,336226.05,47.55,156823,20412,3842163.50,24.50,269064,34460,4305024.00,16.00
1301,22/01/2019,4,7,36,25,26,35,32,41,45,0,0,0.00,0.00,2,0,250186.20,125093.10,111,20,515089.95,4640.45,649,90,264889.35,408.15,6097,751,309117.90,50.70,137790,18523,3534313.50,25.65,235959,32131,3964111.20,16.80
1300,15/01/2019,31,42,20,28,15,36,27,40,38,0,0,0.00,0.00,2,0,148060.70,74030.35,52,3,304831.80,5862.15,350,37,156765.00,447.90,3482,386,182979.10,52.55,80314,9923,2092179.70,26.05,137236,16945,2339873.80,17.05
1299,08/01/2019,12,35,20,36,43,32,5,10,45,0,0,0.00,0.00,1,0,101094.25,101094.25,39,4,208135.20,5336.80,270,37,107041.50,396.45,2333,319,124932.15,53.55,51980,6608,1426851.00,27.45,98114,12452,1599258.20,16.30
1298,01/01/2019,32,30,26,11,20,23,44,6,18,0,0,0.00,0.00,3,2,73401.60,24467.20,48,1,151120.80,3148.35,216,29,77716.80,359.80,1820,209,90636.00,49.80,41440,5056,1036000.00,25.00,73757,8754,1161672.75,15.75
1297,25/12/2018,28,4,38,11,7,32,33,40,3,1,0,10000000.00,10000000.00,4,0,133863.20,33465.80,85,13,275599.75,3242.35,422,55,141728.70,335.85,3878,502,165396.70,42.65,81449,10149,1889616.80,23.20,139948,17486,2120212.20,15.15
1296,18/12/2018,16,15,27,4,13,45,29,43,26,0,0,0.00,0.00,2,0,102766.90,51383.45,42,9,211579.20,5037.60,338,66,108819.10,321.95,2925,406,126945.00,43.40,62099,7827,1450011.65,23.35,103148,12615,1624581.00,15.75
1295,11/12/2018,42,33,38,8,18,37,7,32,20,0,0,0.00,0.00,1,0,82723.95,82723.95,28,1,170314.20,6082.65,183,31,87592.95,478.65,1982,250,102172.10,51.55,43218,5506,1166886.00,27.00,75600,9917,1307880.00,17.30
