Draw number,Draw date,Winning Number 1,Winning Number 2,Winning Number 3,Winning Number 4,Winning Number 5,Winning Number 6,Supplementary Number 1,Supplementary Number 2,Division 1 winners,Division 1 winners in WA,Division 1 prize pool,Division 1 amount,Division 2 winners,Division 2 winners in WA,Division 2 prize pool,Division 2 amount,Division 3 winners,Division 3 winners in WA,Division 3 prize pool,Division 3 amount,Division 4 winners,Division 4 winners in WA,Division 4 prize pool,Division 4 amount,Division 5 winners,Division 5 winners in WA,Division 5 prize pool,Division 5 amount,Division 6 winners,Division 6 winners in WA,Division 6 prize pool,Division 6 amount
3775,23/09/2017,44,6,40,45,13,8,16,2,4,0,4036142.56,1009035.64,38,7,547724.40,14413.80,971,199,1181949.75,1217.25,49773,8680,1786850.70,35.90,130287,22328,2996601.00,23.00,284155,47441,3864508.00,13.60
3773,16/09/2017,29,10,45,5,20,41,7,26,4,1,4047346.52,1011836.63,66,10,549400.50,8324.25,1085,191,1185525.25,1092.65,56364,9317,1792375.20,31.80,142495,22937,3006644.50,21.10,323050,52304,3876600.00,12.00
3771,09/09/2017,12,42,40,21,35,28,4,9,6,0,4173761.28,695626.88,73,6,567764.80,7777.60,1545,210,1225185.00,793.00,66098,10639,1854048.90,28.05,133207,22506,3110383.45,23.35,323390,52408,4010036.00,12.40
3769,02/09/2017,21,22,23,16,17,44,30,2,12,1,20000000.04,1666666.67,136,24,1367990.00,10058.75,2463,407,2952028.65,1198.55,128642,20722,4463877.40,34.70,327132,51652,7491322.80,22.90,686155,107628,9640477.75,14.05
3767,26/08/2017,45,20,11,38,27,15,18,42,6,1,4109743.74,684957.29,60,13,557865.00,9297.75,1094,197,1203837.60,1100.40,57525,9721,1820666.25,31.65,135905,23015,3051067.25,22.45,264261,45603,3937488.90,14.90
3765,19/08/2017,39,3,30,23,9,45,7,17,5,0,4152157.50,830431.50,57,8,562863.60,9874.80,1012,203,1214602.40,1200.20,53375,9665,1836100.00,34.40,147344,25886,3079489.60,20.90,363941,60322,3966956.90,10.90
3763,12/08/2017,7,11,45,14,16,26,34,35,6,0,4300836.66,716806.11,62,9,583584.30,9412.65,1185,187,1259299.50,1062.70,62576,10316,1905439.20,30.45,134809,23715,3194973.30,23.70,237765,41857,4113334.50,17.30
3761,05/08/2017,21,7,20,1,11,32,26,22,6,3,4316448.30,719408.05,81,8,586205.10,7237.10,1553,239,1264996.15,814.55,76734,12502,1914513.30,24.95,175206,28997,3206269.80,18.30,333712,56307,4138028.80,12.40
3759,29/07/2017,28,34,30,43,42,31,4,25,19,0,20000000.02,1052631.58,132,23,1404136.80,10637.40,2538,374,3029991.30,1193.85,125627,20239,4579104.15,36.45,309475,52050,7690453.75,24.85,694575,109016,9897693.75,14.25
3757,22/07/2017,32,42,27,44,11,22,7,39,13,2,4280465.80,329266.60,125,22,580006.25,4640.05,1358,224,1251600.70,921.65,61960,11053,1892878.00,30.55,153696,27241,3173822.40,20.65,287644,50429,4084544.80,14.20
3755,15/07/2017,25,44,41,1,11,22,9,23,4,1,3942976.44,985744.11,42,8,535678.50,12754.25,1030,175,1155917.50,1122.25,54309,9345,1748749.80,32.20,140506,24019,2929550.10,20.85,293328,51129,3783931.20,12.90
3753,08/07/2017,24,11,22,26,33,18,28,19,8,2,3973248.08,496656.01,69,5,539800.80,7823.20,1188,188,1164834.00,980.50,59688,9972,1760796.00,29.50,150725,25070,2954210.00,19.60,311218,52956,3812420.50,12.25
3751,01/07/2017,19,18,6,10,32,36,13,1,3,1,4064787.96,1354929.32,47,12,552273.50,11750.50,1061,173,1191768.25,1123.25,54748,8887,1801209.20,32.90,143920,23858,3022320.00,21.00,326455,54699,3901137.25,11.95
3749,24/06/2017,29,43,5,13,32,1,40,38,15,3,21000000.00,1400000.00,114,20,1268706.00,11129.00,2352,434,2737728.00,1164.00,122770,20916,4137349.00,33.70,289911,47652,6943368.45,23.95,591103,96658,8955210.45,15.15
3747,17/06/2017,33,25,5,34,30,19,2,1,3,1,4130444.49,1376814.83,50,5,559255.00,11185.10,928,175,1206817.60,1300.45,54069,9021,1824828.75,33.75,137440,22754,3058040.00,22.25,283299,46988,3937856.10,13.90
3745,10/06/2017,14,24,44,22,12,20,32,6,3,0,3993311.37,1331103.79,46,4,542786.20,11799.70,1026,167,1171281.60,1141.60,51559,9060,1771051.65,34.35,128683,22206,2972577.30,23.10,244129,42013,3832825.30,15.70
3743,03/06/2017,21,32,35,9,30,27,20,31,2,0,4094688.94,2047344.47,42,4,555922.50,13236.25,980,203,1199618.00,1224.10,52296,9157,1814671.20,34.70,128374,21712,3042463.80,23.70,275241,45519,3922184.25,14.25
3741,27/05/2017,42,45,17,15,24,18,35,36,6,1,4015850.34,669308.39,35,6,544846.75,15567.05,747,135,1175740.65,1573.95,43907,7969,1778233.50,40.50,120141,21781,2979496.80,24.80,224135,40411,3843915.25,17.15
3739,20/05/2017,10,11,33,6,29,15,5,25,1,1,4214068.62,4214068.62,62,13,573202.40,9245.20,1259,274,1236904.55,982.45,63249,11503,1869007.95,29.55,164443,28953,3140861.30,19.10,378524,64505,4050206.80,10.70
